#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2019-02-15,190.0,20,Promoció econòmica,,,"CONGOST - VIGILANCIA Y SEGURIDAD, SL",SERVEI VIGILANCIA CAN GAVARRA DESEMBRE 2018,614456
2019-02-15,155.63,02,Serveis generals,,,Consorci Administració Oberta Cat,CERTIFICAT DE SEGELL,A 19240
2019-02-15,1022.96,06,Serveis municipals i via pública,,,CONSORCI GESTIO DE RESIDUS DEL  VALLES OCCIDENTAL,ENTRADES TONES VOLUMINOSOS PLANTA INTERCOMARCAL MES DE NOVEMBRE 2018,393/2018
2019-02-15,15425.47,06,Serveis municipals i via pública,,,CONSORCI GESTIO DE RESIDUS DEL  VALLES OCCIDENTAL,ENTRADES TONES RESTA CTR-VALLÈS MES DE NOVEMBRE 2018,377/2018
2019-02-15,39.14,21,Gent gran,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",CASAL GENT GRAN,YHN0100
2019-02-15,150.12,21,Gent gran,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",PRODUCTES ACTIVITATS CASAL GENT GRAN,VH1019
2019-02-15,295.72,21,Gent gran,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",PRODUCTES ACTIVITATS CASAL GENT GRAN,VH802
2019-02-15,86.89,21,Gent gran,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",PRODUCTES ACTIVITATS CASAL GENT GRAN,VH1626
2019-02-15,184.09,21,Gent gran,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",PRODUCTES ACTIVITATS CASAL GENT GRAN,YHN0101
2019-02-15,1320.0,02,Serveis generals,,,CREU ROJA - Assemblea local de Sentmenat,FORMACIÓ DEA PERSONAL AJUNTAMENT,08267-2018-12-3-N
2019-02-15,400.0,08,Cultura,,,CULTURA,ACTUACIÓ TEATRE FESTA MAJOR D'HIVERN - BESTRETA,102-19
2019-02-15,31.77,02,Serveis generals,,,"DIMO EXPRES, S.L. - UNIPOST, SERVICIO POSTAL GLOBAL",SERVEI CARTES MUNICIPI DESEMBRE 2018,20180555
2019-02-15,75.0,02,Serveis generals,,,DIPUTACIO DE BARCELONA,PUBLICACIÓ EDICTE OBRES MILLORA VORERES,201802005887L
2019-02-15,1328.0,07,Medi ambient,,,DIPUTACIO DE BARCELONA,AGENDES MEDI AMBIENT 2019,2018/16979
2019-02-15,75.0,02,Serveis generals,,,DIPUTACIO DE BARCELONA,PUBLICACIÓ ANUNCI 2 PROJECTES D'OBRES,201802005699L
2019-02-15,5.51,21,Gent gran,,,"DROGUES I PINTURA LA MODERNA, SA",SPRAY WATER BASED GOLD 300ml CASAL GENT GRAN,181012109
2019-02-15,448.57,18,Serveis de manteniment d'edificis i inversions,,,"ECOCLIMA VALLÈS, SL",CORRECTIU CALEFACCIÓ EBM BADABADOC,PI-79
2019-02-15,77.22,02,Serveis generals,,,"EDEN SPRINGS ESPAÑA, SAU",AGUA 19L AIG / SUSTITUCION KIT OASIS FN DESEMBRE 2018,75/03782795
2019-02-15,38.61,20,Promoció econòmica,,,"EDEN SPRINGS ESPAÑA, SAU",AGUA 19L AIG / SUSTITUCION KIT OASIS FN DESEMBRE 2018,75/03782795
2019-02-15,4.29,11,Educació,,,"EDEN SPRINGS ESPAÑA, SAU",AGUA 19L AIG / SUSTITUCION KIT OASIS FN DESEMBRE 2018,75/03782795
2019-02-15,18.92,11,Educació,,,"EDEN SPRINGS ESPAÑA, SAU",AGUA 19L AIG / SUSTITUCION KIT OASIS FN DESEMBRE 2018,75/03782795
2019-02-15,18.92,11,Educació,,,"EDEN SPRINGS ESPAÑA, SAU",AGUA 19L AIG / SUSTITUCION KIT OASIS FN DESEMBRE 2018,75/03782795
